Parcel,Street Num,Street,Zip,Width,Depth,Acres,Type,Zone,Price
2605900000000,1321,GLEASON,38106,30,100,0.075,DAY CARE CTR.,RU-,"$15,000.00"
2605900000000,1333,GLEASON,38106,30,100,0.067,DAY CARE CTR.,RU-,"$15,000.00"
2701000000000,1061,LEATH,38107,45,116,0.152,HOUSE,R-6,"$5,000.00"
2703200000000,772,DUNLAP N.,38107,50,120,0.135,HOUSE,MDR,"$3,500.00"
3502500000000,299,VAAL,38109,50,100,0.11,HOUSE,R-6,$300.00
3509200000000,1611,RAYBURN,38106,36,90,0.074,HOUSE,R-6,"$6,000.00"
3509200000000,1621,RAYBURN,38106,36,90,0.074,HOUSE,R-6,"$6,000.00"
3509300000000,1555,RAYBURN,38106,36,90,0.08,HOUSE,R-6,"$6,000.00"
3509300000000,575,RAYBURN,38106,36,90,0.085,HOUSE,R-6,"$3,500.00"
3509300000000,1581,RAYBURN,38106,36,90,0.087,HOUSE,R-6,"$6,000.00"
3510300000000,1596,RAYBURN,38106,36,90,0.079,HOUSE,R-6,"$6,000.00"
3510300000000,1656,RAYBURN,38106,24,90,0.05,PRIVATE DRIVE,R-6,$300.00
3702800000000,2909,YALE,38112,42,82,0.09,HOUSE,R-6,"$3,000.00"
3800900000000,3155,POWELL,38112,53,150,0.197,HOUSE,RU-,"$2,000.00"
4103800000000,2165,HUBERT N.,38108,55,115,0.144,HOUSE,R-6,"$5,000.00"
4105200000000,2151,LYON,38108,40,120,0.116,HOUSE,RU-,"$4,000.00"
4203600000000,2405,SHASTA,38108,40,110,0.106,DUPLEX,RU-,"$5,000.00"
4300600000000,1445,WARFORD,38108,315,300,2.542,WAREHOUSE,IH,"$45,000.00"
4303100000000,1648,ORR,38108,56,119,0.115,DUPLEX,RU-,"$2,000.00"
4308000000000,3628,TOWNES,38122,50,140,0.174,HOUSE,R-6,"$2,000.00"
4706300000000,1571,HUGENOT,38114,38,137,0.118,HOUSE,RU-,"$3,000.00"
4708100000000,2727,FILMORE,38114,50,153,0.181,HOUSE,R-6,"$3,000.00"
5004300000000,203,FRANK W.,38109,102,163,0.179,HOUSE,R-6,"$3,500.00"
5903100000000,2915,SOUTHWALL,38114,55,183,0.217,HOUSE,R-6,"$1,000.00"
5903500000000,2926,SOUTHWALL,38114,56,200,0.245,HOUSE,R-6,"$4,000.00"
6000700000000,2207,PRATT,38106,85,106,0.141,HOUSE,RU-,"$3,000.00"
6101200000000,1330,TUNSTALL,38114,50,96,0.111,HOUSE,RU-,"$8,000.00"
6205500000000,1766,SUGARLOAF,38108,67,172,0.239,HOUSE,R-6,"$3,000.00"
6904600000000,976,RESTBROOK,38127,70,200,0.339,HOUSE,R-6,"$3,000.00"
