tax_id,leased,delinquent,acres,error
438500,,,,
540569,,,,
29100,,0,,
537521,,,,
106600,1,2017,0,0
154400,,,,
109320,,,,
54000,,,,
21900,,,,
35100,,,,
140100,,,,
89000,,,,
160500,,,,
45136,,,,
417200,,,,
570100,,,,
23200,,,,
438100,,,,
109400,,,,
143301,,,,
1147,,,,
23202,,,,
171,,,,
89100,,,,
6576,,,,
1823,,,,
436800,,,,
285,,,,
83730,,,,
195500,,,,
405400,,,,
570900,,,,
529300,,,,
1302,,,,
5400,,,,
20881,,,,
4743,,,,
1609,,,,
26700,,,,
160950,,,,
132400,,,,
9801,,,,
405,,,,
1983,,,,
183500,,,,
1985,,,,
521597,,,,
181200,,,,
524619,,,,
4812,,,,
175000,,,,
5656,,,,
642,,,,
2138,,,,
165900,,,,
10424,,,,
836,,,,
1229,,,,
2208,,,,
593844,,,,
521772,,,,
541118,,,,
538130,,,,
1623,,,,
104001,,,,
67600,,,,
27287,,,,
95356,,,,
26005,,,,
1563,,,,
252,,,,
11200,,,,
468100,,,,
2170,,,,
120,,,,
1614,,,,
597400,,,,
221500,,,,
13068,,,,
65700,,,,
99100,,,,
420083,,,,
1301,,,,
2690,,,,
1412,,,,
32404,,,,
168800,,,,
200800,,,,
524633,,,,
1631,,,,
224911,,,,
9119,,,,
7843,,,,
537518,,,,
211220,,,,
226100,,,,
346,,,,
539,,,,
596854,,,,
37026,,,,
540438,,,,
76200,,,,
409400,,,,
550300,,,,
229807,,,,
175550,,,,
459100,,,,
1112,,,,
107300,,,,
20482,,,,
717,,,,
18750,,,,
7753,,,,
521916,,,,
635,,,,
492600,,,,
1703,,,,
186200,,,,
18300,,,,
43117,,,,
73900,,,,
1344,,,,
540933,,,,
524408,,,,
1679,,,,
45500,,,,
1092,,,,
409900,,,,
463000,,,,
174,,,,
82600,,,,
521539,,,,
537623,,,,
694,,,,
524410,,,,
2096,,,,
155330,,,,
16424,,,,
27620,,,,
551400,,,,
21200,,,,
540605,,,,
223800,,,,
3510,,,,
31610,,,,
943,,,,
1629,,,,
521744,,,,
599245,,,,
501900,,,,
539821,,,,
1528,,,,
1491,,,,
537513,,,,
226700,,,,
998,,,,
381200,,,,
41382,,,,
181620,,,,
524419,,,,
125600,,,,
538302,,,,
6700,,,,
19626,,,,
24300,,,,
393400,,,,
16250,,,,
15396,,,,
2252,,,,
1155,,,,
675,,,,
2036,,,,
71800,,,,
176096,,,,
24775,,,,
598244,,,,
79700,,,,
207930,,,,
5961,,,,
524505,,,,
151304,,,,
1263,,,,
132000,,,,
2184,,,,
184601,,,,
1080,,,,
95510,,,,
1877,,,,
91800,,,,
215800,,,,
5314,,,,
587400,,,,
245900,,,,
538706,,,,
7398,,,,
246100,,,,
95500,,,,
1744,,,,
12582,,,,
1951,,,,
583300,,,,
433200,,,,
598234,,,,
521695,,,,
169550,,,,
207,,,,
897,,,,
545901,,,,
176300,,,,
38200,,,,
217200,,,,
61500,,,,
612,,,,
215300,,,,
540511,,,,
27122,,,,
433000,,,,
537710,,,,
540418,,,,
451600,,,,
524449,,,,
400700,,,,
538901,,,,
539605,0,2018,0,0
46400,,,,
3815,,,,
11100,,,,
465000,,,,
75700,,,,
521779,,,,
135900,,,,
583100,,,,
540440,,,,
455100,,,,
132200,,,,
190500,,,,
576800,,,,
132300,,,,
214403,,,,
521920,,,,
537708,,,,
112700,,,,
1785,,,,
2007,,,,
582000,,,,
539813,,,,
104900,,,,
521765,,,,
197400,,,,
33101,,,,
524623,,,,
1056,,,,
378600,,,,
1265,,,,
2139,,,,
1453,,,,
2367,,,,
561201,,,,
224926,,,,
29270,,,,
87650,,,,
566,,,,
1901,,,,
137400,,,,
100500,,,,
521855,,,,
579000,,,,
988,,,,
15110,,,,
2104,,,,
1030,,,,
265900,,,,
9350,,,,
34844,,,,
216900,,,,
524440,,,,
19900,,,,
452200,,,,
1742,,,,
2157,,,,
540720,,,,
537530,,,,
595600,,,,
105900,,,,
29500,,,,
82200,,,,
1829,,,,
1812,,,,
186800,,,,
300165,,,,
1226,,,,
246500,,,,
459,,,,
2253,,,,
742,,,,
558,,,,
539809,,,,
1772,,,,
2330,,,,
1564,,,,
1857,,,,
1700,,,,
77600,,,,
45322,,,,
1016,,,,
29959,,,,
1721,,,,
199001,,,,
4568,,,,
597420,,,,
5992,,,,
246000,,,,
598464,,,,
538500,,,,
540546,,,,
28049,,,,
540919,,,,
125,,,,
6814,,,,
224927,,,,
9750,,,,
1069,,,,
7132,,,,
2836,,,,
76800,,,,
2285,,,,
68900,,,,
7814,,,,
6774,,,,
24385,,,,
710,,,,
1556,,,,
521717,,,,
869,,,,
64800,,,,
521655,,,,
540326,,,,
152700,,,,
143800,,,,
219700,,,,
44529,,,,
521250,,,,
529800,,,,
1743,,,,
209900,,,,
